status	kind	component	source	line
partial	service	PluginsService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	554
partial	service	IdentityService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	621
partial	service	RemoteStoreNodeService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	636
partial	service	ResourceWatcherService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	639
partial	module	ScriptModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	658
partial	module	AnalysisModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	660
partial	module	SettingsModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	670
partial	service	NetworkService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	678
partial	module	TelemetryModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	700
partial	service	LocalClusterService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	731
partial	service	ClusterService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	733
partial	service	ConsistentSettingsService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	740
partial	service	SystemTemplatesService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	744
partial	service	UsageService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	754
partial	service	FsHealthService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	761
partial	service	InternalSnapshotsInfoService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	769
partial	module	ClusterModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	786
partial	module	IndicesModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	798
partial	module	SearchModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	801
partial	module	GatewayModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	819
partial	registry	NamedWriteableRegistry	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	831
partial	registry	NamedXContentRegistry	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	832
partial	service	MetaStateService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	841
partial	service	PersistedClusterStateService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	842
partial	service	RemoteClusterStateService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	861
partial	service	RemoteStorePinnedTimestampService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	879
partial	service	BatchedRerouteService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	960
partial	registry	DataFormatRegistry	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	969
partial	service	TaskResourceTrackingService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	978
partial	module	CacheModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	991
partial	service	IndicesService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	994
partial	service	IngestService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1034
partial	service	MonitorService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1055
partial	service	MetadataCreateIndexService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1072
partial	service	MetadataCreateDataStreamService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1094
partial	service	ViewService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1100
partial	service	WorkloadGroupResourceUsageTrackerService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1149
partial	service	WorkloadGroupService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1157
partial	service	WorkloadGroupTaskCancellationService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1158
partial	module	ActionModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1192
partial	service	ResourceUsageCollectorService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1217
partial	service	AdmissionControlService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1223
partial	module	NetworkModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1259
partial	service	MetadataIndexUpgradeService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1280
partial	service	SystemIndexMetadataUpgradeService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1289
partial	service	TemplateUpgradeService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1291
partial	service	StreamTransportService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1317
partial	registry	PersistedStateRegistry	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1343
partial	service	ResponseCollectorService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1345
partial	service	SearchTransportService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1346
partial	service	StreamSearchTransportService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1351
partial	service	IndexingPressureService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1357
partial	service	SearchBackpressureService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1367
partial	module	RepositoriesModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1376
partial	service	SnapshotsService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1392
partial	service	SnapshotShardsService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1402
partial	service	RestoreService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1416
