status	kind	component	source	line
partial	service	RemoteStoreRestoreService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1428
partial	module	DiscoveryModule	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1452
partial	service	SearchPipelineService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1473
partial	service	TaskCancellationMonitoringService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1488
partial	service	NodeService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1494
partial	registry	PersistentTasksExecutorRegistry	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1560
partial	service	PersistentTasksClusterService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1561
partial	service	PersistentTasksService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1568
partial	registry	MappingTransformerRegistry	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1572
partial	controller	SearchPhaseController	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1624
planned	service	PeerRecoverySourceService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1642
planned	service	PeerRecoveryTargetService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1644
planned	service	SegmentReplicationTargetService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1647
planned	service	SegmentReplicationSourceService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1658
partial	service	TransportService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1765
partial	service	TaskCancellationService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	1852
partial	service	HierarchyCircuitBreakerService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	2231
partial	service	NoneCircuitBreakerService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	2233
partial	service	SearchService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	2273
partial	service	ScriptService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	2294
partial	service	InternalClusterInfoService	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/node/Node.java	2319
