surface	status	category	identifier	detail	source	line
rest_route	out-of-scope	POST	/_cat/example		/home/ubuntu/OpenSearch/plugins/examples/rest-handler/src/main/java/org/opensearch/example/resthandler/ExampleCatAction.java	60
rest_route	out-of-scope	PUT	/_steelsearch/persistent_task/{task_id}		/home/ubuntu/OpenSearch/plugins/persistent-task-live-fixture/src/main/java/org/opensearch/example/persistenttask/RestPersistentTaskLiveFixtureAction.java	38
rest_route	out-of-scope	DELETE	/_steelsearch/persistent_task/{task_id}		/home/ubuntu/OpenSearch/plugins/persistent-task-live-fixture/src/main/java/org/opensearch/example/persistenttask/RestPersistentTaskLiveFixtureAction.java	39
rest_route	out-of-scope	POST	/test/_stream		/home/ubuntu/OpenSearch/plugins/transport-reactor-netty4/src/internalClusterTest/java/org/opensearch/http/reactor/netty4/ReactorNetty4StreamingTracingIT.java	100
rest_route	out-of-scope	POST	_wlm/workload_group/		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestCreateWorkloadGroupAction.java	59
rest_route	out-of-scope	PUT	_wlm/workload_group/		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestCreateWorkloadGroupAction.java	59
rest_route	out-of-scope	DELETE	_wlm/workload_group/{name}		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestDeleteWorkloadGroupAction.java	51
rest_route	out-of-scope	GET	_wlm/workload_group/		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestGetWorkloadGroupAction.java	51
rest_route	out-of-scope	GET	_wlm/workload_group/{name}		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestGetWorkloadGroupAction.java	51
rest_route	out-of-scope	POST	_wlm/workload_group/{name}		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestUpdateWorkloadGroupAction.java	59
